ID,Tweet,Class
9.63421048631906E+017,البقاء للأفضل و الأجدر . . وقد يكون الأفضل أكبر في العمر أو قد يكون بتخصص مغاير في البكالوريوس أو قد يكون موظف حكومي في جهه آخرى,P
9.63420314934956E+017,اصبحت الجمله الشهيره    دبري احد يمشي لك اوراقك    عندك واسطه بتمشي امورك زي الفل ماعندك الشكوى لله ما بيدنا حل ! ! كيف لجامعات تخضع لمعايير ثقيله كما يزعمون لاختيار هيئه تدريس و في المقابل التلاعب والواسطات دليل كافي للتوظيف لديهم سواء اداري او اكاديمي ! ! اين العدل و المنطق ! !,N
9.63420240540561E+017,رغم ان السعودي يفوق بذكاءه على الامريكي بكثير ولكن عندهم دعم الافكار واشخاص يدعمون التميز الفكري مو يحطمونه ويعقدونه بشروط وتعقيد واحباط   عندهم خلق فرص واستغلال طاقات شبابيه ابداعيه بجميع المجالات ماعندهم شي اسمه قسم اكتفينا منه و هناك ازدياد بنسبه البطاله,N
9.63420041587937E+017,هناك يتعاملون مع الفرد كفرد هنا يتعاملون مع    مين يعرفك    هناك يسمحون له باخذ الخبره هنا يطلبون الخبره منه هناك يصنعون الانسان هنا يصنعون المال . هناك يهتمون بالذي ينتج هنا يهتمون بالمنتج . حتى لو اضطر يستفدم    يهودي    ولا يسمح لابن البلد يصنع نفسه يبغونه جاهز مباشره بدون اتاحه فرصه .,N
9.63419926114591E+017,وعندما يتعلق الأمر بمن يهمهم أمره فسيعتبرونه تنوع في المعارف مع العلم أن التخصص الغالب لدى أساتذه الجامعات في الماجستير والدكتوراه هو مناهج وطرق تدريس نظرا لسهوله الحصول عليه . . . وهناك الكثير لاينطبق عليه هذا الشرط ويقولون ( ذلك فضل الله يؤتيه من يشاء ),N
9.62767161994465E+017,,/
9.62749795684225E+017,إمتداد التخصص غير وارد في لوائح الجامعات ويخضع للإجتهادات الفرديه ويعتبر من أخطر وسائل الفساد في الجامعات لقبول من يرغبون ورفض من لايرغبون وهناك عدد من مدراء الجامعات وأكاديمييها لا ينطبق عليهم هذا الشرط مما يدل على أن هذا الشرط مجرد وسيله من وسائل التصريف .,N
9.62749755985101E+017,مثل ماتتعسفون على ابناء الوطن بالشروط   فالاجنبي من باب اولى توضع لهم شروط للاستقطاب ليعم العدل .,N
9.62735540322812E+017,ماشفتهم خلفي للاسف انا صاحبه الشهادات خلفهم وهم امامي يمرحون ويسرحون وعايشين حياتهم وانا حبيسه الفقر والبطاله ولا رادع لهم الى الان المفترض ان اهم ركيزه للرؤيه هي القضاء على المفسدين اصحاب الواسطات والمحسوبيات لانهم حجر عثره في طريق نهضه هذا البلد 💔,N
9.62735057566921E+017,و قمه الغباء إذا رفضوك و إنت الجدير المميز بحجه إمتداد التخصص رغم احتياج القسم . . وبعدها استقدموا وافد عربي أو آسيوي بنفس وضعك غير ممتد و ما يعرف يتعامل مع الايميل ! !,N
9.62731723221033E+017,الوقت الذي يقضونه في دراسه المشكله ومحاولات حلها يستقطعونه من أعمارنا . . كل يوم منه نقضيه تحت وطأه البطاله و آثارها الماديه و النفسيه و الاجتماعيه . .,N
9.62731316864344E+017,ما ضيع الكفاءات إلا أصحاب هذا التفكير المحدود . . بناء على تفكيرهم بيكون التاجر محل العالم والعالم محل التاجر . . لكل مجال أهله . . و أنا هنا أدعو لنظام توظيف جديد يضع كل شخص في مكانه المناسب .,N
9.62727880823362E+017,الخدمه المدنيه : لا يوجد وظائف تناسب مؤهلك . الشركات : . الجامعات : لا تنطبق عليك الشروط . أين نذهب ؟ ؟ ! !,N
9.62725589332447E+017,الواسطات تمارس جهارا نهارا . . هم لا ينكرونها بل يبررونها . .,N
